Parameter,model,OR,lb,ub,display
Antenatal care visits (ref: <4),Reduced,,,,
    4+,Reduced,0.8,0.75,0.85,0.80 (0.75-0.85)
Institutional & skilled attendant (ref: No),Reduced,,,,
    Yes,Reduced,0.88,0.83,0.94,0.88 (0.83-0.94)
Place of residence (ref: Urban),Reduced,,,,
    Rural,Reduced,0.98,0.91,1.07,0.98 (0.91-1.07)
Wealth index (ref: Poorest),Reduced,,,,
    Poorer,Reduced,1.04,0.96,1.13,1.04 (0.96-1.13)
    Middle,Reduced,0.94,0.86,1.02,0.94 (0.86-1.02)
    Richer,Reduced,0.89,0.81,0.98,0.89 (0.81-0.98)
    Richest,Reduced,0.71,0.63,0.8,0.71 (0.63-0.80)
Antenatal care visits (ref: <4),Fully adjusted,,,,
    4+,Fully adjusted,0.82,0.77,0.87,0.82 (0.77-0.87)
Institutional & skilled attendant (ref: No),Fully adjusted,,,,
    Yes,Fully adjusted,0.89,0.82,0.97,0.89 (0.82-0.97)
Place of residence (ref: Urban),Fully adjusted,,,,
    Rural,Fully adjusted,1.01,0.93,1.1,1.01 (0.93-1.10)
Wealth index (ref: Poorest),Fully adjusted,,,,
    Poorer,Fully adjusted,1.06,0.97,1.15,1.06 (0.97-1.15)
    Middle,Fully adjusted,0.99,0.9,1.08,0.99 (0.90-1.08)
    Richer,Fully adjusted,1,0.89,1.11,1.00 (0.89-1.11)
    Richest,Fully adjusted,0.85,0.73,0.98,0.85 (0.73-0.98)
