"","group_var","outcome","neonatalYes","ci_l.neonatalYes","ci_u.neonatalYes","infantYes","ci_l.infantYes","ci_u.infantYes","under5Yes","ci_l.under5Yes","ci_u.under5Yes"
"Male...1","ch_sex","neonatal",0.03041,0.02924,0.03157,,,,,,
"Female...2","ch_sex","neonatal",0.02345,0.02228,0.02462,,,,,,
"1st...3","birthorder","neonatal",0.03141,0.02966,0.03317,,,,,,
"2ndor3rd...4","birthorder","neonatal",0.02118,0.02003,0.02233,,,,,,
"4thor5th...5","birthorder","neonatal",0.02551,0.02386,0.02716,,,,,,
"6thabove...6","birthorder","neonatal",0.03478,0.03277,0.03679,,,,,,
"1st...7","interval","neonatal",0.03141,0.02966,0.03317,,,,,,
"<24months...8","interval","neonatal",0.04418,0.04124,0.04711,,,,,,
"24_47months...9","interval","neonatal",0.02057,0.01954,0.02159,,,,,,
"48months...10","interval","neonatal",0.02294,0.02139,0.02449,,,,,,
"Normal...11","delivery","neonatal",0.02696,0.02602,0.02791,,,,,,
"C-Section...12","delivery","neonatal",0.03624,0.03219,0.04029,,,,,,
"15-19...13","mom_age_cat","neonatal",0.03878,0.03495,0.04261,,,,,,
"20-24...14","mom_age_cat","neonatal",0.0273,0.02563,0.02898,,,,,,
"25-29...15","mom_age_cat","neonatal",0.0233,0.02168,0.02492,,,,,,
"30-34...16","mom_age_cat","neonatal",0.02472,0.02308,0.02637,,,,,,
"35-39...17","mom_age_cat","neonatal",0.02774,0.02567,0.0298,,,,,,
"40-44...18","mom_age_cat","neonatal",0.03041,0.02745,0.03337,,,,,,
"45-49...19","mom_age_cat","neonatal",0.04243,0.03603,0.04884,,,,,,
"Married...20","marital","neonatal",0.0274,0.0263,0.0285,,,,,,
"Other...21","marital","neonatal",0.02611,0.02474,0.02749,,,,,,
"No education...22","mom_educ","neonatal",0.02877,0.02734,0.0302,,,,,,
"Primary...23","mom_educ","neonatal",0.02799,0.02616,0.02981,,,,,,
"Secondary...24","mom_educ","neonatal",0.02549,0.02394,0.02704,,,,,,
"High school...25","mom_educ","neonatal",0.02597,0.02324,0.0287,,,,,,
"College...26","mom_educ","neonatal",0.02143,0.01806,0.0248,,,,,,
"No...27","early_preg","neonatal",0.02592,0.02472,0.02712,,,,,,
"Yes...28","early_preg","neonatal",0.02822,0.02703,0.02941,,,,,,
"No...29","tetanus","neonatal",0.02411,0.02229,0.02592,,,,,,
"Yes...30","tetanus","neonatal",0.01788,0.01702,0.01875,,,,,,
"No...31","everbf","neonatal",0.26819,0.25645,0.27993,,,,,,
"Yes...32","everbf","neonatal",0.01396,0.01333,0.01458,,,,,,
"Poorest...33","wealth","neonatal",0.02785,0.02627,0.02943,,,,,,
"Poorer...34","wealth","neonatal",0.02826,0.02638,0.03014,,,,,,
"Middle...35","wealth","neonatal",0.02764,0.02546,0.02982,,,,,,
"Richer...36","wealth","neonatal",0.02745,0.0255,0.0294,,,,,,
"Richest...37","wealth","neonatal",0.0228,0.02079,0.02482,,,,,,
"No...38","water","neonatal",0.02825,0.02679,0.02971,,,,,,
"Yes...39","water","neonatal",0.02636,0.02532,0.0274,,,,,,
"No...40","sanit","neonatal",0.02838,0.02723,0.02953,,,,,,
"Yes...41","sanit","neonatal",0.02563,0.0244,0.02686,,,,,,
"Urban...42","placeofres","neonatal",0.02569,0.02418,0.0272,,,,,,
"Rural...43","placeofres","neonatal",0.02767,0.02659,0.02874,,,,,,
"No...44","inst_skilled","neonatal",0.02819,0.0269,0.02949,,,,,,
"Yes...45","inst_skilled","neonatal",0.02684,0.02559,0.02809,,,,,,
"No...46","anc4","neonatal",0.0226,0.02129,0.02392,,,,,,
"Yes...47","anc4","neonatal",0.01708,0.01613,0.01804,,,,,,
"Male...48","ch_sex","infant",,,,0.04863,0.04715,0.05011,,,
"Female...49","ch_sex","infant",,,,0.03935,0.03788,0.04083,,,
"1st...50","birthorder","infant",,,,0.04716,0.04507,0.04925,,,
"2ndor3rd...51","birthorder","infant",,,,0.03628,0.03476,0.03781,,,
"4thor5th...52","birthorder","infant",,,,0.04244,0.04041,0.04448,,,
"6thabove...53","birthorder","infant",,,,0.05771,0.0551,0.06032,,,
"1st...54","interval","infant",,,,0.04716,0.04507,0.04925,,,
"<24months...55","interval","infant",,,,0.07326,0.06976,0.07675,,,
"24_47months...56","interval","infant",,,,0.037,0.03565,0.03836,,,
"48months...57","interval","infant",,,,0.03476,0.03284,0.03667,,,
"Normal...58","delivery","infant",,,,0.04482,0.04361,0.04604,,,
"C-Section...59","delivery","infant",,,,0.05101,0.04627,0.05575,,,
"15-19...60","mom_age_cat","infant",,,,0.06038,0.05572,0.06503,,,
"20-24...61","mom_age_cat","infant",,,,0.0438,0.04177,0.04583,,,
"25-29...62","mom_age_cat","infant",,,,0.03914,0.03716,0.04112,,,
"30-34...63","mom_age_cat","infant",,,,0.04023,0.03809,0.04238,,,
